,text,entity_indices,entities,labels,relations,edges
2271,As discussed in the literature several experimental problems have not been solved,"(4, 7)","['literature', 'problems']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2272,The safety valve of the first tank was actuated after 16 min and 27 s while the safety valve of the second tank was actuated after 16 min and 53 s,"(2, 6)","['valve', 'tank']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
2273,Authors use a RadioButtonGroup control for this purpose,"(0, 4)","['Authors', 'control']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
2274,200000 doses of smallpox vaccine have been shipped to 35 states,"(1, 10)","['doses', 'states']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2275,Ferrets in a sack show more politesse,"(0, 3)","['Ferrets', 'sack']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
2276,In this slideshow images and quotes by artists from past seasons of Art21 are juxtaposed to create a portrait of architecture in contemporary art,"(7, 10)","['artists', 'seasons']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
2277,The urine was drained into the urine bag,"(1, 7)","['urine', 'bag']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2278,Showing interest in something is a large step towards happiness after depression,"(9, 11)","['happiness', 'depression']",Other,['Other'],NA
2279,The green suitcase was inside a larger tan suitcase which also contained a set of baby rosary beads a religious picture a picture of a 5-year-old girl and a card that read Birthday Prayer,"(2, 8)","['suitcase', 'suitcase']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
2280,By now my friends are familiar with my almost english obsession with toast,"(3, 10)","['friends', 'obsession']",Other,['Other'],NA
2281,Two plants were producing cold-smoked salmon the third plant was producing semi-preserved herring and the fourth plant was producing caviar,"(1, 5)","['plants', 'salmon']","Product-Producer(e2,e1)",['Product-Producer'],"(e2,e1)"
2282,The charges originated in an attempted blackmail against Moti a constitutional lawyer and Australian citizen in Vanuatu in 1997-98,"(1, 6)","['charges', 'blackmail']",Other,['Other'],NA
2283,The Beatles 1967 album Sgt Pepper Lonely Hearts Club Band has a widely-recognized album cover which depicts several dozen celebrities and other images,"(13, 14)","['album', 'cover']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
2284,Audiences are dragged into Troi counseling sessions,"(0, 6)","['Audiences', 'sessions']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2285,The fins extend beyond the hull of the vessel below the waterline and alter their angle of attack depending upon heel angle of the vessel,"(5, 8)","['hull', 'vessel']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
2286,The passenger was placed into a small room before being transported to Harborview Medical Center for treatment,"(1, 7)","['passenger', 'room']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2287,They went to the mall where my wallet was locked in a safe that very few people knew how to open but they persevered,"(7, 12)","['wallet', 'safe']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
2288,The fragment that first caught the eye of Stais was one of the corroded inscribed plates that is an integral part of the Antikythera mechanism as the device later came to be called,"(15, 24)","['plates', 'mechanism']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
2289,The index finger was placed inside a normal outfielder glove but it seemed placed at an angle where it has a difficult time assisting in the closing of the glove around the ball,"(8, 9)","['outfielder', 'glove']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
2290,The electricity used for distillery operations has been estimated at 129 kWh/tonne cane with a best available technology rate of 96 kWh/tonne cane,"(1, 5)","['electricity', 'operations']","Instrument-Agency(e1,e2)",['Instrument-Agency'],"(e1,e2)"
2291,Researchers placed the compound in a tube which then was put inside a magnet,"(6, 13)","['tube', 'magnet']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2292,Generally it appears that most of the damage was caused by the winds and the rough seas,"(7, 16)","['damage', 'seas']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
2293,Radiology is the branch or specialty of medicine that deals with the study and application of imaging technology,"(0, 17)","['Radiology', 'imaging technology']",Other,['Other'],NA
2294,World practices have shown that often local authorities are quicker to respond to the natural disasters caused by the climate change,"(15, 20)","['disasters', 'change']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
2295,Earthly Powers is a meta-novel then an unexpected masterpiece by a mediocre novelist,"(8, 12)","['masterpiece', 'novelist']","Product-Producer(e1,e2)",['Product-Producer'],"(e1,e2)"
2296,This is usually accomplished by placing the ball in a wire basket or container that substantially conforms to the shape of the ball,"(7, 11)","['ball', 'basket']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
2297,There are four locations of this restaurant owned by the Buckley company of Dublin butchers,"(11, 14)","['company', 'butchers']",Other,['Other'],NA
2298,The lower house was composed of elected representatives,"(2, 7)","['house', 'representatives']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2299,Therefore a different method is used involving a condom some strawberry syrup and a piece of 1/2 aluminium plating not as kinky as it sounds,"(10, 11)","['strawberry', 'syrup']","Entity-Origin(e2,e1)",['Entity-Origin'],"(e2,e1)"
2300,The funds raised through this appeal have a direct impact on the people affected by the severe devastations caused by the storms,"(17, 21)","['devastations', 'storms']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
2301,The popcorn truck was improvised by an Armenian cabinet maker who came here in 1914 to escape Turkish massacres,"(2, 9)","['truck', 'maker']","Product-Producer(e1,e2)",['Product-Producer'],"(e1,e2)"
2302,Every morning / night we have a psittacosis of green parrots doing a couple of loops around our house,"(7, 10)","['psittacosis', 'parrots']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2303,The book by the death-march survivor constitutes the basis of the case,"(1, 5)","['book', 'survivor']","Product-Producer(e1,e2)",['Product-Producer'],"(e1,e2)"
2304,The harness was in a chest,"(1, 5)","['harness', 'chest']",Other,['Other'],NA
2305,The drug release from the microcapsules was diffusion controlled,"(1, 5)","['drug', 'microcapsules']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
2306,The R&B singer has issued a statement expressing remorse over what transpired and saying he is seeking counselling,"(2, 6)","['singer', 'statement']","Product-Producer(e2,e1)",['Product-Producer'],"(e2,e1)"
2307,As the group ventures deeper into the forest the eerie realm unleashes its spirits unto the intruders killing them one by one,"(10, 13)","['realm', 'spirits']",Other,['Other'],NA
2308,The chairman of the political party or the independent/primary candidate entitled to representatives as appropriate must provide a notice of authorization,"(1, 5)","['chairman', 'political party']","Member-Collection(e1,e2)",['Member-Collection'],"(e1,e2)"
2309,Whenever we try a new butcher we always buy the butcher sausage first,"(10, 11)","['butcher', 'sausage']","Product-Producer(e2,e1)",['Product-Producer'],"(e2,e1)"
2310,This was demonstrated for a servomotor driven-robot arm using a computer simulation,"(5, 7)","['servomotor', 'arm']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
2311,Preventing stream and riverbank erosion is one of the main focuses in riparian protection and restoration,"(1, 4)","['stream', 'erosion']",Other,['Other'],NA
2312,The film star writer and director Tommy Wiseau has claimed it to be a black comedy but other actors involved in the production believe it was supposed to be a melodramatic romance,"(1, 5)","['film', 'director']","Product-Producer(e1,e2)",['Product-Producer'],"(e1,e2)"
2313,His graduation thesis supplied valuable background information on the subject of the duel,"(2, 6)","['thesis', 'background information']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2314,His career was most recently summarised in John Bray biography of Gallienus,"(1, 9)","['career', 'biography']","Message-Topic(e2,e1)",['Message-Topic'],"(e2,e1)"
2315,Its collections illustrate admirably the natural history archeology and art of Southern India,"(1, 6)","['collections', 'natural history']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2316,Outbreaks caused by the oral vaccine live virus have happened before,"(0, 7)","['Outbreaks', 'virus']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
2317,He took a ring folder and a pad of paper suitably punched to fit the ring folder,"(3, 4)","['ring', 'folder']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
2318,In tele-operation a human operator manipulates a control stick to generate a command signal so that a robot performs a specified task,"(4, 8)","['operator', 'stick']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
2319,The site contained photos of female celebrities exposing their belly buttons,"(9, 10)","['belly', 'buttons']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
2320,Despite being a fan of 1860 Munich he ended up playing for the youth squad of their rivals Bayern Munich in 1959,"(14, 17)","['squad', 'rivals']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2321,Results from this testing were presented in a previous technical progress report for this project,"(0, 11)","['Results', 'report']","Message-Topic(e2,e1)",['Message-Topic'],"(e2,e1)"
2322,The programmes explored Britain favourite games across a century of childhood,"(1, 5)","['programmes', 'games']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2323,On Sunday afternoon passengers on the United flight were leaving the airport after being taken to a room there for about three hours,"(3, 11)","['passengers', 'airport']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
2324,The compromise resolved the crisis through a series of secret negotiations involving Republican and Democratic politicians and various interest groups,"(1, 10)","['compromise', 'negotiations']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
2325,Men work inside a caisson while excavating for bridge foundations,"(0, 4)","['Men', 'caisson']",Other,['Other'],NA
2326,In other words when the teacher is the source of the information the learning path tends to be teacher-to-learner,"(5, 11)","['teacher', 'information']","Entity-Origin(e2,e1)",['Entity-Origin'],"(e2,e1)"
2327,Several merry answers were made to my question which entertained us ill bed time and filled my mind with a huddle of ideas,"(20, 22)","['huddle', 'ideas']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2328,A passenger was taken into custody after trying to bring a suitcase full of cocaine onto a plane at Philadelphia International Airport,"(11, 14)","['suitcase', 'cocaine']","Content-Container(e2,e1)",['Content-Container'],"(e2,e1)"
2329,A man who absconded from a hospital in Abergavenny has been found by police,"(1, 6)","['man', 'hospital']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
2330,Unlike our expectation this religion is spreading faster into the country,"(4, 10)","['religion', 'country']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2331,This book approaches painting in a traditional manner with an extreme sensitivity to light and texture,"(1, 3)","['book', 'painting']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2332,An initial Phase 1 packet arrived from an unrecognized peer gateway,"(4, 10)","['packet', 'gateway']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
2333,After wrapping him in a light blanket they placed the infant in the cradle his father had carved for him,"(10, 13)","['infant', 'cradle']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2334,The nurse wields the scalpel,"(1, 4)","['nurse', 'scalpel']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
2335,Mosquitoes are spreading into new places bringing malaria and dengue fever with them,"(0, 5)","['Mosquitoes', 'places']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2336,Beginning in 1939 the factory passenger cars were sold under the Moskvitch Muscovite brand,"(4, 6)","['factory', 'cars']","Product-Producer(e2,e1)",['Product-Producer'],"(e2,e1)"
2337,The bathtub was full of books and extra space became paramount,"(1, 5)","['bathtub', 'books']","Content-Container(e2,e1)",['Content-Container'],"(e2,e1)"
2338,Zhao Guoxiang in his speech pointed out that this competition is an important measure for the cultivation of academic atmosphere,"(4, 9)","['speech', 'competition']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2339,The fine powder was loaded into a rubber bag of 3/4 diameter and the bag was contained in a stainless or plastic sheath,"(14, 22)","['bag', 'sheath']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
2340,This absorbency is important in a candle because the wick needs to absorb liquid wax and move it upward while the candle is burning,"(6, 9)","['candle', 'wick']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
2341,The light combustibles are dropped in to a bunker as the combustible fuel for use in the steam boiler for generation of steam,"(2, 8)","['combustibles', 'bunker']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2342,An aborted 7-month-old fetus was found in a gift box under a Christmas tree,"(3, 9)","['fetus', 'box']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
2343,Frequently the author departs from an explanation of what has transpired and the facts and forces pertaining to the action,"(2, 6)","['author', 'explanation']",Other,['Other'],NA
2344,In this constitution the people was the source of all powers but it exercised none,"(4, 10)","['people', 'powers']","Entity-Origin(e2,e1)",['Entity-Origin'],"(e2,e1)"
2345,The predominant mixing action is to shear the mixing compound between the rotors of the mixer and the distance between the rotors is less than the rotor diameter,"(12, 15)","['rotors', 'mixer']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
2346,The band performs with a high level of musicality energy and spirit while combining sensitive group interplay with dynamic solo improvisations,"(1, 8)","['band', 'musicality']",Other,['Other'],NA
2347,The glass bottle was contained in a wire mesh basket in case of explosion,"(2, 9)","['glass bottle', 'wire mesh basket']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
2348,The installation powered a 100 horsepower 75 kW synchronous motor at Telluride,"(1, 9)","['installation', 'motor']","Instrument-Agency(e1,e2)",['Instrument-Agency'],"(e1,e2)"
2349,Merolchazzar the high-priest muttered something about the anger of the Gods at the toleration shown to a sect of impious heretics who ate pigeons broiled  whereas said he our religion commands us to eat them roasted,"(17, 20)","['sect', 'heretics']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2350,The process builds many features into the product that translate into benefits for you,"(1, 4)","['process', 'features']",Other,['Other'],NA
2351,A shirtless farmer toils to plow the soil with a hand-cultivator while his wife quietly follows with seeds for the freshly turned earth,"(2, 10)","['farmer', 'hand-cultivator']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
2352,The latter course explained the biological phenomena in a mathematical way,"(2, 6)","['course', 'phenomena']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2353,The flat has a fully equipped kitchen BBQ two bathrooms internet sky and an indoor pool,"(1, 9)","['flat', 'bathrooms']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
2354,Fish gather in a shoal a shallow place in a river or lake,"(0, 4)","['Fish', 'shoal']","Member-Collection(e1,e2)",['Member-Collection'],"(e1,e2)"
2355,Where a worker works in a factory for more than nine hours in any day or for more than forty-eight hours in any week he shall be entitled to wages at the rate of twice his ordinary rate of wages,"(6, 11)","['factory', 'hours']",Other,['Other'],NA
2356,They raided a house behind Mustapha residence and seized a cache of arms weapons and explosives,"(10, 12)","['cache', 'arms']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2357,The work is rooted in an effort to demonstrate commonality between the arts by focusing on classical rhetoric as the main discursive agency,"(1, 6)","['work', 'effort']",Other,['Other'],NA
2358,Republican senators hammered White House science officials about the emails leaked from prominent climate scientists two weeks ago,"(9, 14)","['emails', 'scientists']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
2359,Thermocerin is a powerful fat burner that works with a combination of natural herbs such as White and Green Tea Capsaicin and Caffeine,"(5, 13)","['burner', 'herbs']",Other,['Other'],NA
2360,Peter Wayner a technology writer struggles with how to respond to the widespread piracy of his books online,"(3, 4)","['technology', 'writer']",Other,['Other'],NA
2361,Even the hinges of the refrigerator are hidden to provide a clean edged look,"(2, 5)","['hinges', 'refrigerator']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
2362,So solar thermal power generation works essentially the same as generation from fossil fuels except that instead of using steam produced from the combustion of fossil fuels the steam is produced by the heat collected from sunlight,"(28, 33)","['steam', 'heat']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
2363,Since we see an array of spectral colors it led him to the conclusion that color is a perceptual experience that depends on the wavelength of the light,"(4, 7)","['array', 'colors']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2364,But the problem requires a broader solution - one that is consistent with the new US commitment to cross-border cooperation,"(2, 6)","['problem', 'solution']",Other,['Other'],NA
2365,The size of the assemblies grows from the byssus substrate interface to the transition layer,"(4, 10)","['assemblies', 'interface']",Other,['Other'],NA
2366,Virgin spaceship takes visitors into suborbital space,"(3, 6)","['visitors', 'suborbital space']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2367,David and I have the same vision for our kennel of dogs and share the same philosophy in what we want our Labradors to represent,"(9, 11)","['kennel', 'dogs']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2368,The street outside the side entrance was decked however with three limousines double-parked and a squad of motorcycle policemen stood at the door,"(15, 18)","['squad', 'policemen']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2369,The production of rice spirits in South China such as the well-known Guiling Shanhua Spirit kept using the same method described above until the first half of this century,"(3, 4)","['rice', 'spirits']","Entity-Origin(e2,e1)",['Entity-Origin'],"(e2,e1)"
2370,The software creates pictures using random algorithms and prints them in sections on multiple pages which can be trimmed and assembled to fashion large posters,"(1, 6)","['software', 'algorithms']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
2371,Autonomic imbalance is one of the multifactorial causes of essential hypertension currently,"(1, 10)","['Autonomic imbalance', 'hypertension']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
2372,Sitting on wooden benches in strong concealed positions the enemy machine gunners tore the platoon to shreds with their murderous weapons,"(11, 20)","['gunners', 'weapons']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
2373,Toda has established himself as the world foremost folder of paper planes,"(8, 11)","['folder', 'planes']","Product-Producer(e2,e1)",['Product-Producer'],"(e2,e1)"
2374,The exhibition explores the ideas and beliefs of people in the Middle Ages,"(1, 4)","['exhibition', 'ideas']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2375,Narrative identity takes part in the story movement in the dialectic between order and disorder,"(1, 7)","['identity', 'movement']",Other,['Other'],NA
2376,Again you make professional judgements regarding their relative value,"(4, 8)","['judgements', 'value']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2377,Some nails are more difficult to remove than others from the shank of the shoe,"(11, 14)","['shank', 'shoe']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
2378,He kept collecting those book titles and sent them to me for our next reading list,"(4, 5)","['book', 'titles']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
2379,The following discussion centered mainly around the issue of photographing children,"(2, 7)","['discussion', 'issue']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2380,It was the only living thing in sight except for a stationary cloud of hysterical gnats suspended in the heat above the road,"(12, 15)","['cloud', 'gnats']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2381,As I move closer to the kitchen the steady hum of the refrigerator grows stronger,"(9, 12)","['hum', 'refrigerator']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
2382,He changed perspective cricketers view on role of wicket keeper in the team,"(9, 12)","['keeper', 'team']","Member-Collection(e1,e2)",['Member-Collection'],"(e1,e2)"
2383,I have long been an ardent admirer user and buyer of the knitwear produced by this excellent company based in the small borders town of Hawick,"(12, 17)","['knitwear', 'company']","Product-Producer(e1,e2)",['Product-Producer'],"(e1,e2)"
2384,To strengthen if needed maybe some sinister reference to the pea having got out from under the mattress,"(10, 17)","['pea', 'mattress']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
2385,The real output per capita is running into inherent barriers,"(2, 9)","['output', 'barriers']",Other,['Other'],NA
2386,Fatty acid and phospholipid chlorohydrins cause cell stress and endothelial adhesion,"(1, 10)","['acid', 'adhesion']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
2387,Nuclear material of Trypanosoma brucei is imported into the mitochondria,"(1, 9)","['material', 'mitochondria']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2388,Lately even women inject steroids into their muscles,"(4, 7)","['steroids', 'muscles']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2389,The Earth was the center of the universe and the sky was enclosed in a dome,"(10, 15)","['sky', 'dome']",Other,['Other'],NA
2390,The enemy combatant case has moved into civilian courts,"(3, 8)","['case', 'civilian courts']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2391,It is the story of a teenager who finds himself floating on a raft down the Mississippi River with an escaping slave,"(3, 6)","['story', 'teenager']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2392,They are a collection of standards defining the allowed formats of Compact Discs,"(5, 9)","['standards', 'formats']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2393,Strora Enso has a wide range of white envelope papers developed for excellent runnability and printability,"(5, 9)","['range', 'papers']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2394,The origin of a cancer is from a single cell,"(4, 9)","['cancer', 'cell']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
2395,I had a nest of garter snakes in the crack between the sidewalk and foundation last year,"(3, 6)","['nest', 'snakes']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2396,The old geological theory explained mountains as wrinkles made by the Earth shrinking as it cools down,"(3, 5)","['theory', 'mountains']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2397,Our cutter has a staysail on a furler,"(1, 4)","['cutter', 'staysail']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
2398,My mint julep was in a glass I still own,"(2, 6)","['mint julep', 'glass']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
2399,The contaminated buildings that were buried have leaked radiation into the soil,"(8, 11)","['radiation', 'soil']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2400,Another shows a worker with a cigarette dangling from his mouth a lunch box popping out from under a well-muscled arm,"(3, 6)","['worker', 'cigarette']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
2401,When leaving on the walk our guide gave one of our group a bottle with twenty re-hydration tablets in it,"(13, 17)","['bottle', 're-hydration tablets']","Content-Container(e2,e1)",['Content-Container'],"(e2,e1)"
2402,He accidentally dropped the file into the wrong folder,"(4, 8)","['file', 'folder']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2403,The new cigarettes cause headaches and nausea and contain dangerous chemicals,"(2, 6)","['cigarettes', 'nausea']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
2404,The method examines the hypothesis stack of the decoder during recognition and picks the most likely terms before they are pruned,"(4, 5)","['hypothesis', 'stack']","Member-Collection(e1,e2)",['Member-Collection'],"(e1,e2)"
2405,Bangladesh has urged India to do away with visas for travel between the two neighbours to boost trade,"(8, 10)","['visas', 'travel']",Other,['Other'],NA
2406,A Canadian doctor cured me with only a massage,"(2, 8)","['doctor', 'massage']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
2407,This past September the convicted burglar escaped from an open prison,"(5, 10)","['burglar', 'prison']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
2408,I made sure that the end could still slide freely over the dowel rod,"(12, 13)","['dowel', 'rod']",Other,['Other'],NA
2409,He put a gallon into his cart and walked back to the front of the store,"(3, 6)","['gallon', 'cart']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2410,They were a loose confederacy of various Arab lineages who were forged together in the eighteenth century by a common way of life and amalgamated in the twentieth century under their famous Shaykh Sir Ali al-Tom 1874-1937,"(4, 8)","['confederacy', 'lineages']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2411,Local legend tells of a man unjustly hanged and a grave where no grass will grow,"(1, 5)","['legend', 'man']","Message-Topic(e1,e2)",['Message-Topic'],"(e1,e2)"
2412,It was noted that this policy had been considered at the last meeting of the Policy and Procedure Review,"(5, 12)","['policy', 'meeting']","Message-Topic(e2,e1)",['Message-Topic'],"(e2,e1)"
2413,Billionaires make up India rich list,"(0, 5)","['Billionaires', 'rich list']","Member-Collection(e1,e2)",['Member-Collection'],"(e1,e2)"
2414,An air freshener is constructed from parts to make a model of an object from everyday life eg an airplane insect or bird,"(2, 6)","['freshener', 'parts']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
2415,As the driver passed Venne one of the hooks caught the cyclist dragging him under the wheels of the truck,"(16, 19)","['wheels', 'truck']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
2416,People used to throw coins into this fountain,"(4, 7)","['coins', 'fountain']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2417,The military uses sandbags for field fortifications or as a temporary measure to protect civilian structures,"(1, 3)","['military', 'sandbags']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
2418,The prophet was put into a vaulted cell in a dungeon where he remained a long time,"(1, 7)","['prophet', 'cell']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2419,Peg bags are the medium sized bags that hang in the candy isle of the store,"(12, 15)","['isle', 'store']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
2420,On the hour the clock plays a melody with motion,"(4, 7)","['clock', 'melody']","Cause-Effect(e1,e2)",['Cause-Effect'],"(e1,e2)"
2421,For example a technology manufacturer undertook a seven-year $200 million human resources outsourcing effort,"(3, 4)","['technology', 'manufacturer']",Other,['Other'],NA
2422,Nurses militancy stemmed from two different kinds of experiences,"(1, 8)","['militancy', 'experiences']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
2423,An i-Button is a globally unique computer chip enclosed in a 16mm steel case,"(7, 13)","['computer chip', 'steel case']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
2424,Four hours earlier the electrician injured his eye with the blunt end of a screwdriver,"(4, 11)","['electrician', 'end']","Instrument-Agency(e2,e1)",['Instrument-Agency'],"(e2,e1)"
2425,He was shocked to find the mixes were in a box in his garage that was in mortal danger because rats had used it for nesting,"(6, 10)","['mixes', 'box']","Content-Container(e1,e2)",['Content-Container'],"(e1,e2)"
2426,This publication is supported by a grant from Merck,"(1, 6)","['publication', 'grant']",Other,['Other'],NA
2427,A simple DC motor has a coil of wire that can rotate in a magnetic field,"(3, 6)","['motor', 'coil']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
2428,The human psyche is seen to be a confederation of various aspects eg cognition affection conation,"(8, 11)","['confederation', 'aspects']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2429,Nails grow out of deep folds in the skin of the fingers and toes,"(8, 11)","['skin', 'fingers']","Component-Whole(e1,e2)",['Component-Whole'],"(e1,e2)"
2430,The plane took off westbound from the small airport southernmost runway shortly before 6 pm,"(1, 10)","['plane', 'runway']","Entity-Origin(e1,e2)",['Entity-Origin'],"(e1,e2)"
2431,The pollution from animal factories is also destroying parts of the world oceans,"(1, 4)","['pollution', 'factories']","Cause-Effect(e2,e1)",['Cause-Effect'],"(e2,e1)"
2432,It is a shady retreat close to a chain of shallow ponds near the lake shore,"(8, 11)","['chain', 'ponds']","Member-Collection(e2,e1)",['Member-Collection'],"(e2,e1)"
2433,But OBrien was proud of how his team finished a difficult season,"(7, 11)","['team', 'season']",Other,['Other'],NA
2434,The aircraft is landing into the sea,"(1, 6)","['aircraft', 'sea']","Entity-Destination(e1,e2)",['Entity-Destination'],"(e1,e2)"
2435,As a result of this consolidation the area comprised of these villages is now called Kalbach but each village still has its own identity on a map,"(7, 11)","['area', 'villages']","Component-Whole(e2,e1)",['Component-Whole'],"(e2,e1)"
2436,The achievements of Michael Phelps in the pool proved to be a major talking point for the riders,"(1, 14)","['achievements', 'talking point']",Other,['Other'],NA
2437,A remarkable combination of favourable circumstances saw the technology progress from the innovation phase - its trial in prototype form - through to adoption and widespread use in only a few years,"(2, 5)","['combination', 'circumstances']",Other,['Other'],NA
